,CELL_LINE_NAME,DRUG_NAME,MAX_CONC_MICROMOLAR,IC50
524,A704,Docetaxel,0.0125,0.019084515
525,A101D,Docetaxel,0.0125,0.00477124
526,23132-87,Docetaxel,0.0125,0.005580215
527,A431,Docetaxel,0.0125,0.000934554
528,BFTC-905,Docetaxel,0.0125,0.000406616
529,CAL-51,Docetaxel,0.0125,0.003403302
530,RERF-LC-MS,Docetaxel,0.0125,0.001574624
531,GAK,Docetaxel,0.0125,0.007181629
532,AM-38,Docetaxel,0.0125,0.012833004
533,A4-Fuk,Docetaxel,0.0125,0.013960784
534,A3-KAW,Docetaxel,0.0125,0.072988674
535,DOK,Docetaxel,0.0125,0.001447286
536,COR-L279,Docetaxel,0.0125,0.032543423
537,NEC8,Docetaxel,0.0125,0.000731435
538,CAS-1,Docetaxel,0.0125,0.012515455
539,ALL-PO,Docetaxel,0.0125,0.00869142
540,S-117,Docetaxel,0.0125,0.014191714
541,OCI-AML2,Docetaxel,0.0125,0.02384044
542,MFM-223,Docetaxel,0.0125,0.004471971
543,CML-T1,Docetaxel,0.0125,0.008956444
544,EFO-21,Docetaxel,0.0125,0.014129521
545,LS-1034,Docetaxel,0.0125,0.055523551
546,22RV1,Docetaxel,0.0125,0.00334348
547,8505C,Docetaxel,0.0125,0.001049165
548,CAL-39,Docetaxel,0.0125,0.002216367
549,CaR-1,Docetaxel,0.0125,0.003860321
550,HDLM-2,Docetaxel,0.0125,0.006610586
551,KGN,Docetaxel,0.0125,0.002550109
552,KLE,Docetaxel,0.0125,0.020754462
553,KNS-81-FD,Docetaxel,0.0125,0.005496009
554,K5,Docetaxel,0.0125,0.001063655
555,L-363,Docetaxel,0.0125,0.008981952
556,MDA-MB-415,Docetaxel,0.0125,0.003621815
557,NCI-H1975,Docetaxel,0.0125,0.002701935
558,SW954,Docetaxel,0.0125,0.001110635
559,MKN7,Docetaxel,0.0125,0.007335014
560,MMAC-SF,Docetaxel,0.0125,0.008878843
561,MKN45,Docetaxel,0.0125,0.003944272
562,NCI-H810,Docetaxel,0.0125,0.006305569
563,NBsusSR,Docetaxel,0.0125,0.005152506
564,MFH-ino,Docetaxel,0.0125,0.00182144
565,NOS-1,Docetaxel,0.0125,0.012979683
566,PANC-03-27,Docetaxel,0.0125,0.002038306
567,PANC-08-13,Docetaxel,0.0125,0.016897831
568,RL95-2,Docetaxel,0.0125,0.00099046
569,RO82-W-1,Docetaxel,0.0125,0.005808296
570,SiHa,Docetaxel,0.0125,0.004798672
571,SKG-IIIa,Docetaxel,0.0125,0.003169184
572,TT,Docetaxel,0.0125,0.081285226
573,VMRC-MELG,Docetaxel,0.0125,0.020218707
574,TE-9,Docetaxel,0.0125,0.000961244
575,TE-11,Docetaxel,0.0125,0.000555709
576,TE-6,Docetaxel,0.0125,0.014322723
577,TE-12,Docetaxel,0.0125,0.032273946
578,TC-YIK,Docetaxel,0.0125,0.00755762
579,YT,Docetaxel,0.0125,0.04843963
580,BT-474,Docetaxel,0.0125,0.021721103
581,LCLC-97TM1,Docetaxel,0.0125,0.001878627
582,D-247MG,Docetaxel,0.0125,0.002238566
583,D-263MG,Docetaxel,0.0125,0.001536132
584,D-336MG,Docetaxel,0.0125,0.002374646
585,D-392MG,Docetaxel,0.0125,0.012490686
586,D-423MG,Docetaxel,0.0125,0.001598135
587,D-502MG,Docetaxel,0.0125,0.004298367
588,D-566MG,Docetaxel,0.0125,0.000297835
589,CTB-1,Docetaxel,0.0125,0.01436452
590,Caov-4,Docetaxel,0.0125,0.244604906
591,BT-483,Docetaxel,0.0125,1.423970363
592,M059J,Docetaxel,0.0125,0.00254418
593,HAL-01,Docetaxel,0.0125,0.105834577
594,OMC-1,Docetaxel,0.0125,0.010591187
595,ES8,Docetaxel,0.0125,0.000928478
596,ES4,Docetaxel,0.0125,0.002064957
597,ES6,Docetaxel,0.0125,0.011225885
598,ES1,Docetaxel,0.0125,0.002376375
599,EW-7,Docetaxel,0.0125,0.037179714
600,EW-3,Docetaxel,0.0125,0.028775527
601,EW-1,Docetaxel,0.0125,0.004109187
602,EW-18,Docetaxel,0.0125,0.006292518
603,EW-16,Docetaxel,0.0125,0.001754762
604,EW-13,Docetaxel,0.0125,0.083331554
605,EW-22,Docetaxel,0.0125,0.009841157
606,EW-24,Docetaxel,0.0125,0.089760793
607,LAN-6,Docetaxel,0.0125,0.015322729
608,NB10,Docetaxel,0.0125,0.015024591
609,NB12,Docetaxel,0.0125,0.022224033
610,NB6,Docetaxel,0.0125,0.044623351
611,NB17,Docetaxel,0.0125,0.003221655
612,NB5,Docetaxel,0.0125,0.012543471
613,NB13,Docetaxel,0.0125,0.001299136
614,NB14,Docetaxel,0.0125,0.000812457
615,NB1,Docetaxel,0.0125,0.006701519
616,RH-1,Docetaxel,0.0125,0.000527998
617,RH-18,Docetaxel,0.0125,0.029194644
618,MZ2-MEL,Docetaxel,0.0125,0.004001204
619,Jurkat,Docetaxel,0.0125,0.039692977
620,LS-180,Docetaxel,0.0125,0.024934971
621,BICR22,Docetaxel,0.0125,0.000335418
622,BICR78,Docetaxel,0.0125,0.000784321
623,CCK-81,Docetaxel,0.0125,0.130196817
624,CL-40,Docetaxel,0.0125,0.031193174
625,COLO-783,Docetaxel,0.0125,0.020733262
626,EN,Docetaxel,0.0125,0.010577248
627,ES-2,Docetaxel,0.0125,0.003174237
628,FU-OV-1,Docetaxel,0.0125,0.021927954
629,G-MEL,Docetaxel,0.0125,0.002067533
630,H2595,Docetaxel,0.0125,0.006668155
631,H2731,Docetaxel,0.0125,0.00714649
632,H2869,Docetaxel,0.0125,0.054256743
633,H290,Docetaxel,0.0125,0.005705487
634,H3118,Docetaxel,0.0125,0.003197538
635,H513,Docetaxel,0.0125,0.023503945
636,HARA,Docetaxel,0.0125,0.000708508
637,HCC-15,Docetaxel,0.0125,0.001215446
638,HCC-44,Docetaxel,0.0125,0.000265943
639,HCC-827,Docetaxel,0.0125,0.021194576
640,Hep3B2-1-7,Docetaxel,0.0125,0.003767604
641,Hs-633T,Docetaxel,0.0125,0.003216119
642,Hs-683,Docetaxel,0.0125,0.001208679
643,Hs746T,Docetaxel,0.0125,0.021050668
644,IGR-37,Docetaxel,0.0125,0.00146072
645,IHH-4,Docetaxel,0.0125,0.000780607
646,Ishikawa(Heraklio)02ER-,Docetaxel,0.0125,0.020250759
647,JHH-2,Docetaxel,0.0125,0.006625814
648,JHH-4,Docetaxel,0.0125,0.046845234
649,JHH-6,Docetaxel,0.0125,0.002477421
650,JHH-7,Docetaxel,0.0125,0.004248578
651,JHU-011,Docetaxel,0.0125,0.000330499
652,JHU-022,Docetaxel,0.0125,0.001959373
653,KYM-1,Docetaxel,0.0125,0.001603507
654,KYSE-220,Docetaxel,0.0125,0.001207365
655,LN-18,Docetaxel,0.0125,0.007597158
656,LN-229,Docetaxel,0.0125,0.002502375
657,LNZTA3WT4,Docetaxel,0.0125,0.007350014
658,MDA-MB-436,Docetaxel,0.0125,0.008453878
659,MDST8,Docetaxel,0.0125,0.001220158
660,MS751,Docetaxel,0.0125,0.001538044
661,NB(TU)1-10,Docetaxel,0.0125,0.135133784
662,NCI-H1836,Docetaxel,0.0125,0.070293496
663,NCI-H1869,Docetaxel,0.0125,0.018350068
664,NCI-H1944,Docetaxel,0.0125,0.005588195
665,NCI-H2023,Docetaxel,0.0125,0.004212028
666,NCI-H211,Docetaxel,0.0125,0.016638833
667,NCI-H3122,Docetaxel,0.0125,0.002269504
668,NCI-H647,Docetaxel,0.0125,0.002560576
669,NCI-H841,Docetaxel,0.0125,0.002449077
670,NCI-H847,Docetaxel,0.0125,0.026962615
671,OSC-20,Docetaxel,0.0125,0.003898888
672,OV-90,Docetaxel,0.0125,0.009257724
673,OVISE,Docetaxel,0.0125,0.004474977
674,OVKATE,Docetaxel,0.0125,0.372865319
675,OVMIU,Docetaxel,0.0125,0.006524787
676,PA-TU-8988T,Docetaxel,0.0125,0.003390218
677,PC-3_[JPC-3],Docetaxel,0.0125,0.01972343
678,PCI-15A,Docetaxel,0.0125,0.010934077
679,PCI-6A,Docetaxel,0.0125,0.000210674
680,PE-CA-PJ15,Docetaxel,0.0125,0.006786778
681,RH-41,Docetaxel,0.0125,0.001638974
682,SISO,Docetaxel,0.0125,0.001271069
683,SKN,Docetaxel,0.0125,0.001497774
684,SNU-182,Docetaxel,0.0125,0.00109647
685,SU8686,Docetaxel,0.0125,0.005305756
686,SUIT-2,Docetaxel,0.0125,0.055534768
687,TOV-21G,Docetaxel,0.0125,0.001369191
688,TT2609-C02,Docetaxel,0.0125,0.002628755
689,VMRC-RCW,Docetaxel,0.0125,0.044228628
690,WM278,Docetaxel,0.0125,0.003520427
691,SUP-B15,Docetaxel,0.0125,0.020499496
692,H3255,Docetaxel,0.0125,0.007016842
693,201T,Docetaxel,0.0125,0.002625655
694,451Lu,Docetaxel,0.0125,0.003516817
695,OCI-AML3,Docetaxel,0.0125,0.012865242
696,ASH-3,Docetaxel,0.0125,0.001773249
697,BICR10,Docetaxel,0.0125,0.002374017
698,CAL-29,Docetaxel,0.0125,0.001029963
699,CAL-78,Docetaxel,0.0125,0.013261144
700,CHSA0011,Docetaxel,0.0125,0.037059076
701,CHSA0108,Docetaxel,0.0125,0.009300622
702,CL-11,Docetaxel,0.0125,0.183349887
703,CL-34,Docetaxel,0.0125,0.049489636
704,CS1,Docetaxel,0.0125,0.002899868
705,DAN-G,Docetaxel,0.0125,0.011224426
706,EFM-192A,Docetaxel,0.0125,0.018336989
707,FU97,Docetaxel,0.0125,0.007961889
708,G-292-Clone-A141B1,Docetaxel,0.0125,0.015834503
709,H2369,Docetaxel,0.0125,0.00252473
710,H2373,Docetaxel,0.0125,0.006702759
711,H2461,Docetaxel,0.0125,0.023643194
712,H2722,Docetaxel,0.0125,0.076740552
713,H2795,Docetaxel,0.0125,0.002659942
714,HCC1428,Docetaxel,0.0125,0.025825291
715,HCC202,Docetaxel,0.0125,0.239631489
716,HCC-56,Docetaxel,0.0125,0.042912977
717,HCC-78,Docetaxel,0.0125,0.009697259
718,HDQ-P1,Docetaxel,0.0125,0.009560455
719,ALL-SIL,Docetaxel,0.0125,0.004251459
720,AMO-1,Docetaxel,0.0125,0.003776884
721,COR-L95,Docetaxel,0.0125,0.033566424
722,CRO-AP3,Docetaxel,0.0125,0.014604377
723,DND-41,Docetaxel,0.0125,0.039395094
724,EJM,Docetaxel,0.0125,0.009390037
725,Farage,Docetaxel,0.0125,0.010595382
726,HeLa,Docetaxel,0.0125,0.002749597
727,Hs-766T,Docetaxel,0.0125,0.028775009
728,Hs-939-T,Docetaxel,0.0125,0.013011509
729,huH-1,Docetaxel,0.0125,0.020258476
730,JHH-1,Docetaxel,0.0125,0.006849991
731,JHU-028,Docetaxel,0.0125,0.001161311
732,JHU-029,Docetaxel,0.0125,0.001005784
733,JIMT-1,Docetaxel,0.0125,0.000938564
734,K2,Docetaxel,0.0125,0.040743539
735,KMH-2,Docetaxel,0.0125,0.00125567
736,KMRC-1,Docetaxel,0.0125,0.055186772
737,KMRC-20,Docetaxel,0.0125,0.004360956
738,KON,Docetaxel,0.0125,0.000458362
739,KP-1N,Docetaxel,0.0125,0.009174559
740,KP-2,Docetaxel,0.0125,0.00281287
741,KP-3,Docetaxel,0.0125,0.018028796
742,KYSE-50,Docetaxel,0.0125,0.002426093
743,LC-1-sq,Docetaxel,0.0125,0.006183759
744,LOU-NH91,Docetaxel,0.0125,0.001983211
745,MCC26,Docetaxel,0.0125,0.007003621
746,NCI-H1435,Docetaxel,0.0125,0.05710926
747,NCI-H1568,Docetaxel,0.0125,0.00328423
748,NCI-H1688,Docetaxel,0.0125,0.027660248
749,NCI-H1781,Docetaxel,0.0125,0.010249032
750,NCI-H2110,Docetaxel,0.0125,0.003103608
751,NCI-H2135,Docetaxel,0.0125,0.187389489
752,NCI-H2172,Docetaxel,0.0125,0.176051626
753,NCI-H2286,Docetaxel,0.0125,0.003211041
754,NCI-H2444,Docetaxel,0.0125,0.02546124
755,NUGC-4,Docetaxel,0.0125,0.008132117
756,OCUM-1,Docetaxel,0.0125,0.006351984
757,OE21,Docetaxel,0.0125,0.001680498
758,OVTOKO,Docetaxel,0.0125,0.020952192
759,PANC-02-03,Docetaxel,0.0125,0.003560836
760,PANC-04-03,Docetaxel,0.0125,0.022341039
761,PA-TU-8902,Docetaxel,0.0125,0.004591737
762,PCI-30,Docetaxel,0.0125,0.021098718
763,PCI-4B,Docetaxel,0.0125,0.000373958
764,PL4,Docetaxel,0.0125,0.009277372
765,QGP-1,Docetaxel,0.0125,0.058133918
766,RERF-LC-KJ,Docetaxel,0.0125,0.001123492
767,RERF-LC-Sq1,Docetaxel,0.0125,0.015717084
768,RKN,Docetaxel,0.0125,0.00109436
769,SAT,Docetaxel,0.0125,0.003941358
770,SCaBER,Docetaxel,0.0125,0.000575171
771,SCC90,Docetaxel,0.0125,0.012088726
772,SKN-3,Docetaxel,0.0125,0.002749671
773,STS-0421,Docetaxel,0.0125,0.003855637
774,SW1271,Docetaxel,0.0125,0.004706546
775,T-T,Docetaxel,0.0125,0.000906813
776,TASK1,Docetaxel,0.0125,0.001963713
777,TMK-1,Docetaxel,0.0125,0.045163592
778,TOV-112D,Docetaxel,0.0125,0.002565859
779,UDSCC2,Docetaxel,0.0125,0.125485634
780,VCaP,Docetaxel,0.0125,0.001434586
781,WM1552C,Docetaxel,0.0125,0.005683745
782,WM35,Docetaxel,0.0125,0.000601963
783,WM793B,Docetaxel,0.0125,0.004564853
784,GA-10,Docetaxel,0.0125,0.010013801
785,GRANTA-519,Docetaxel,0.0125,0.012067469
786,HCC1500,Docetaxel,0.0125,0.090904116
787,Sarc9371,Docetaxel,0.0125,0.007104656
788,CHSA8926,Docetaxel,0.0125,0.00390273
789,COR-L321,Docetaxel,0.0125,0.056003841
790,HSC-39,Docetaxel,0.0125,0.003354753
791,NB4,Docetaxel,0.0125,0.004227295
792,JEKO-1,Docetaxel,0.0125,0.007041684
793,JJN-3,Docetaxel,0.0125,0.004299825
794,JM1,Docetaxel,0.0125,0.02737826
795,JSC-1,Docetaxel,0.0125,0.020442586
796,JURL-MK1,Docetaxel,0.0125,0.013467081
797,KARPAS-1106P,Docetaxel,0.0125,0.009070671
798,KARPAS-231,Docetaxel,0.0125,0.007739587
799,KARPAS-620,Docetaxel,0.0125,0.013590993
800,KCL-22,Docetaxel,0.0125,0.012433871
801,KOPN-8,Docetaxel,0.0125,0.004901456
802,L-1236,Docetaxel,0.0125,0.002966312
803,MDA-MB-330,Docetaxel,0.0125,0.036591767
804,ME-1,Docetaxel,0.0125,0.145606282
805,MEC-1,Docetaxel,0.0125,0.019933032
806,MOLM-13,Docetaxel,0.0125,0.008037767
807,MOLM-16,Docetaxel,0.0125,0.005915472
808,MOLP-8,Docetaxel,0.0125,0.029937512
809,MY-M12,Docetaxel,0.0125,0.040948914
810,NCI-H1341,Docetaxel,0.0125,0.015399858
811,NCI-H1876,Docetaxel,0.0125,0.026786587
812,NU-DUL-1,Docetaxel,0.0125,0.002855735
813,OCI-AML5,Docetaxel,0.0125,0.011542435
814,OCI-M1,Docetaxel,0.0125,0.057032557
815,P32-ISH,Docetaxel,0.0125,0.015731771
816,PL-21,Docetaxel,0.0125,0.013980147
817,PWR-1E,Docetaxel,0.0125,0.001326071
818,RCH-ACV,Docetaxel,0.0125,0.010185277
819,RC-K8,Docetaxel,0.0125,0.10812125
820,ROS-50,Docetaxel,0.0125,0.414968361
821,Sci-1,Docetaxel,0.0125,0.011836871
822,SLVL,Docetaxel,0.0125,0.051762672
823,SU-DHL-16,Docetaxel,0.0125,0.007852825
824,SU-DHL-4,Docetaxel,0.0125,0.043654583
825,SU-DHL-5,Docetaxel,0.0125,0.001450348
826,SU-DHL-6,Docetaxel,0.0125,0.003082199
827,SUP-HD1,Docetaxel,0.0125,0.030025988
828,SUP-M2,Docetaxel,0.0125,0.003324876
829,TK,Docetaxel,0.0125,0.021113049
830,VAL,Docetaxel,0.0125,0.029039712
831,WIL2-NS,Docetaxel,0.0125,0.015675222
832,WSU-DLCL2,Docetaxel,0.0125,0.00467293
833,MCC13,Docetaxel,0.0125,0.114297566
834,DOV13,Docetaxel,0.0125,0.002364986
835,Hey,Docetaxel,0.0125,0.001539028
836,IOSE-364(-),Docetaxel,0.0125,0.0007692
837,IOSE-397,Docetaxel,0.0125,0.001273768
838,IOSE-523(-),Docetaxel,0.0125,0.000616517
839,IOSE-75-16SV40,Docetaxel,0.0125,0.00120701
840,JHOS-2,Docetaxel,0.0125,0.002971986
841,JHOS-3,Docetaxel,0.0125,0.03641338
842,JHOS-4,Docetaxel,0.0125,0.008420972
843,OV-7,Docetaxel,0.0125,0.003589623
844,OV-17R,Docetaxel,0.0125,0.118274628
845,OV-56,Docetaxel,0.0125,0.008112007
846,OVCA420,Docetaxel,0.0125,0.10311762
847,OVCA432,Docetaxel,0.0125,0.011286217
848,OVCA433,Docetaxel,0.0125,0.002869975
849,OVK-18,Docetaxel,0.0125,0.004511038
850,PEO1,Docetaxel,0.0125,0.010254271
851,UWB1.289,Docetaxel,0.0125,0.023095581
852,FLO-1,Docetaxel,0.0125,0.000729516
853,OACp4C,Docetaxel,0.0125,0.001791453
854,OACM5-1,Docetaxel,0.0125,0.1766166
855,SK-GT-2,Docetaxel,0.0125,0.001447147
856,SK-GT-4,Docetaxel,0.0125,0.001999798
857,ESO26,Docetaxel,0.0125,0.006839518
858,ESO51,Docetaxel,0.0125,0.010183515
859,KYAE-1,Docetaxel,0.0125,0.026026943
860,EMC-BAC-1,Docetaxel,0.0125,0.001457741
861,EMC-BAC-2,Docetaxel,0.0125,0.001930558
862,TE-4,Docetaxel,0.0125,0.001337076
863,U-CH1,Docetaxel,0.0125,0.049283842
864,NCC010,Docetaxel,0.0125,0.018077974
865,NCC021,Docetaxel,0.0125,0.025699082
866,RCC-FG2,Docetaxel,0.0125,0.259329714
867,RCC-JF,Docetaxel,0.0125,0.003089661
868,RCC-JW,Docetaxel,0.0125,0.002349833
869,RCC-ER,Docetaxel,0.0125,0.040148107
870,RCC-AB,Docetaxel,0.0125,0.013014866
871,RCC-MF,Docetaxel,0.0125,0.026357564
872,KMS-11,Docetaxel,0.0125,0.034812318
873,MM1S,Docetaxel,0.0125,0.012410406
874,OCI-LY7,Docetaxel,0.0125,0.005416556
875,Set2,Docetaxel,0.0125,0.043027794
876,SNU-407,Docetaxel,0.0125,0.007746648
877,SNU-61,Docetaxel,0.0125,0.162531248
878,SNU-81,Docetaxel,0.0125,0.020500193
879,SNU-C5,Docetaxel,0.0125,0.003034435
880,DIFI,Docetaxel,0.0125,0.007415788
881,LIM1215,Docetaxel,0.0125,0.369299984
882,Geo,Docetaxel,0.0125,0.477587447
