,CELL_LINE_NAME,DRUG_NAME,MAX_CONC_MICROMOLAR,IC50
118,KYSE-70,Docetaxel,0.0125,0.0080058
119,LB1047-RCC,Docetaxel,0.0125,0.012529455
120,LB2241-RCC,Docetaxel,0.0125,0.006937589
121,LB2518-MEL,Docetaxel,0.0125,0.014632269
122,LB373-MEL-D,Docetaxel,0.0125,0.012503408
123,LB647-SCLC,Docetaxel,0.0125,0.018416505
124,LB771-HNC,Docetaxel,0.0125,0.043538747
125,LB831-BLC,Docetaxel,0.0125,0.00190807
126,LCLC-103H,Docetaxel,0.0125,0.003549676
127,LU-134-A,Docetaxel,0.0125,0.024314607
128,LU-165,Docetaxel,0.0125,0.315034224
129,LXF-289,Docetaxel,0.0125,0.00112507
130,MS-1,Docetaxel,0.0125,0.026891151
131,MZ1-PC,Docetaxel,0.0125,0.001425202
132,NCI-H1304,Docetaxel,0.0125,0.247609344
133,NCI-H1563,Docetaxel,0.0125,0.011875593
134,NCI-H292,Docetaxel,0.0125,0.000252452
135,NCI-H510A,Docetaxel,0.0125,0.015448027
136,NCI-H835,Docetaxel,0.0125,0.083665297
137,PC-14,Docetaxel,0.0125,0.002792777
138,SBC-3,Docetaxel,0.0125,0.004147415
139,SCLC-21H,Docetaxel,0.0125,0.046122794
140,SK-MM-2,Docetaxel,0.0125,0.206368061
141,TE-15,Docetaxel,0.0125,0.016578344
142,U-266,Docetaxel,0.0125,0.003024257
143,BE2-M17,Docetaxel,0.0125,0.003477095
144,KELLY,Docetaxel,0.0125,0.002388416
145,SIMA,Docetaxel,0.0125,0.022241842
146,TE-1,Docetaxel,0.0125,0.002758669
147,TE-8,Docetaxel,0.0125,0.000547913
148,CAPAN-1,Docetaxel,0.0125,0.015265346
149,DU-145,Docetaxel,0.0125,0.008083794
150,HCT-116,Docetaxel,0.0125,0.001248283
151,HCT-15,Docetaxel,0.0125,0.125690593
152,HL-60,Docetaxel,0.0125,0.007072707
153,HT-29,Docetaxel,0.0125,0.004423137
154,K-562,Docetaxel,0.0125,0.006200112
155,NCI-H226,Docetaxel,0.0125,0.004790416
156,NCI-H23,Docetaxel,0.0125,0.005283191
157,NCI-H460,Docetaxel,0.0125,0.001665135
158,T47D,Docetaxel,0.0125,0.004230483
159,MCF7,Docetaxel,0.0125,0.001639436
160,A498,Docetaxel,0.0125,0.000355816
161,A549,Docetaxel,0.0125,0.001556246
162,ACHN,Docetaxel,0.0125,0.021840025
163,BT-549,Docetaxel,0.0125,0.002904715
164,CCRF-CEM,Docetaxel,0.0125,0.004187418
165,SK-MEL-2,Docetaxel,0.0125,0.002871169
166,SK-MEL-5,Docetaxel,0.0125,0.002675642
167,Hs-578-T,Docetaxel,0.0125,0.003642216
168,MOLT-4,Docetaxel,0.0125,0.007393108
169,SK-OV-3,Docetaxel,0.0125,0.007156867
170,MDA-MB-231,Docetaxel,0.0125,0.00571444
171,COLO-205,Docetaxel,0.0125,0.025893534
172,SW620,Docetaxel,0.0125,0.005703701
173,CAKI-1,Docetaxel,0.0125,0.022591422
174,RPMI-8226,Docetaxel,0.0125,0.002144637
175,SR,Docetaxel,0.0125,0.004110605
176,NCI-H322M,Docetaxel,0.0125,0.347717121
177,IGROV-1,Docetaxel,0.0125,0.006699516
178,OVCAR-5,Docetaxel,0.0125,0.002342127
179,EKVX,Docetaxel,0.0125,0.013632086
180,HCC2998,Docetaxel,0.0125,0.004764565
181,HOP-62,Docetaxel,0.0125,0.002369171
182,HOP-92,Docetaxel,0.0125,0.005843695
183,M14,Docetaxel,0.0125,0.002411014
184,UACC-62,Docetaxel,0.0125,0.004503205
185,UACC-257,Docetaxel,0.0125,0.014264419
186,RXF393,Docetaxel,0.0125,0.003241844
187,TK10,Docetaxel,0.0125,0.007481462
188,SNB75,Docetaxel,0.0125,0.005448761
189,U251,Docetaxel,0.0125,0.002963062
190,SF539,Docetaxel,0.0125,0.000397258
191,SF295,Docetaxel,0.0125,0.015007233
192,SF268,Docetaxel,0.0125,0.002143072
193,KM12,Docetaxel,0.0125,0.004593224
194,OVCAR-4,Docetaxel,0.0125,0.008121122
195,OVCAR-8,Docetaxel,0.0125,0.003586781
196,BxPC-3,Docetaxel,0.0125,0.003654833
197,BHT-101,Docetaxel,0.0125,0.010226642
198,Becker,Docetaxel,0.0125,0.002093163
199,BE-13,Docetaxel,0.0125,0.004368516
200,ARH-77,Docetaxel,0.0125,0.1407151
201,AGS,Docetaxel,0.0125,0.001078581
202,ABC-1,Docetaxel,0.0125,0.019687704
203,A2058,Docetaxel,0.0125,0.000758839
204,A375,Docetaxel,0.0125,0.001897487
205,A253,Docetaxel,0.0125,0.006437719
206,8305C,Docetaxel,0.0125,0.005862853
207,647-V,Docetaxel,0.0125,0.002788688
208,639-V,Docetaxel,0.0125,0.00161595
209,697,Docetaxel,0.0125,0.003085872
210,BT-20,Docetaxel,0.0125,0.003824517
211,ACN,Docetaxel,0.0125,0.007485578
212,A2780,Docetaxel,0.0125,0.005220208
